id,pollutant_id,Prediction_LDA,Prediction_Bayes
2726,PM10,PM2.5,PM2.5
2727,OZONE,OZONE,NO2
2732,NH3,NH3,SO2
2733,PM2.5,PM10,PM10
2735,PM2.5,NH3,SO2
2736,PM10,PM2.5,PM2.5
2738,PM2.5,NH3,SO2
2740,PM10,PM2.5,PM2.5
2742,CO,OZONE,OZONE
2745,PM2.5,PM10,PM10
2746,SO2,NO2,NO2
2749,NO2,CO,CO
2750,CO,OZONE,OZONE
2751,OZONE,NO2,NO2
2752,NO2,NH3,SO2
2753,NH3,NH3,SO2
2756,OZONE,NH3,SO2
2757,NH3,NH3,SO2
2759,NH3,NH3,SO2
2762,NH3,NH3,SO2
2766,CO,NH3,SO2
2767,NO2,NH3,SO2
2768,CO,NH3,NO2
2770,NH3,NH3,SO2
2771,PM2.5,OZONE,OZONE
2772,NH3,NH3,SO2
2774,NH3,SO2,SO2
2775,SO2,NO2,NO2
2777,NH3,SO2,SO2
2778,NO2,NH3,SO2
2779,NH3,NH3,SO2
2780,NH3,NH3,SO2
2781,NO2,NH3,SO2
2782,NH3,NH3,SO2
2784,NH3,NH3,SO2
2786,CO,OZONE,OZONE
2787,NH3,NH3,SO2
2788,CO,NO2,NO2
2789,OZONE,NO2,NO2
2790,NO2,OZONE,OZONE
2791,PM10,OZONE,OZONE
2793,CO,NH3,SO2
2794,NH3,NH3,SO2
2797,NH3,SO2,NO2
2798,CO,NO2,NO2
2802,NO2,NH3,SO2
2803,NH3,NH3,SO2
2805,NO2,NH3,SO2
2806,NH3,NH3,SO2
2807,OZONE,NH3,NO2
2808,CO,CO,NO2
2811,NO2,SO2,SO2
2812,PM2.5,PM10,PM10
2813,NO2,SO2,SO2
2815,NO2,SO2,SO2
2816,NH3,NH3,SO2
2818,PM2.5,CO,CO
2819,NH3,SO2,SO2
2821,SO2,SO2,NO2
2822,CO,NO2,NO2
2823,OZONE,SO2,NO2
2824,OZONE,SO2,NO2
2826,SO2,CO,CO
2827,OZONE,NH3,SO2
2828,OZONE,NH3,SO2
2829,PM2.5,NO2,NO2
2830,PM10,NO2,NO2
2831,NO2,NH3,SO2
2832,PM2.5,NH3,SO2
2833,NH3,NH3,SO2
2834,PM2.5,PM10,PM10
2835,NO2,NH3,SO2
2836,OZONE,NH3,SO2
2837,OZONE,NH3,SO2
2838,NH3,NH3,SO2
2840,OZONE,NH3,SO2
2841,PM10,OZONE,OZONE
2843,NH3,NH3,SO2
2844,CO,OZONE,OZONE
2845,PM10,CO,CO
2847,CO,NO2,NO2
2848,PM10,CO,CO
2850,PM10,CO,CO
2851,PM2.5,NH3,NO2
2852,NH3,NH3,SO2
2853,OZONE,NH3,NO2
2855,NH3,NH3,SO2
2857,PM2.5,OZONE,OZONE
2858,PM10,OZONE,OZONE
2859,NH3,NH3,SO2
2860,OZONE,NO2,NO2
2862,PM10,NH3,SO2
2863,OZONE,NO2,NO2
2864,PM2.5,NO2,NO2
2865,CO,NO2,NO2
2869,NH3,NH3,SO2
2872,PM2.5,NO2,NO2
2874,NH3,NH3,SO2
2875,CO,SO2,NO2
2876,PM10,NO2,NO2
2877,NH3,NH3,SO2
2878,NH3,SO2,SO2
2881,SO2,PM10,PM10
2882,CO,PM10,PM10
2883,NO2,SO2,SO2
2884,SO2,SO2,NO2
2885,PM2.5,SO2,NO2
2887,SO2,SO2,NO2
2888,NO2,NH3,SO2
2890,OZONE,SO2,SO2
2891,PM2.5,CO,CO
2892,PM10,OZONE,CO
2893,CO,SO2,NO2
2894,PM2.5,NO2,NO2
2895,PM10,NO2,NO2
2896,CO,NO2,NO2
2897,PM2.5,OZONE,OZONE
2898,NH3,SO2,SO2
2899,NO2,SO2,SO2
2901,SO2,NO2,NO2
2902,CO,NO2,NO2
2909,SO2,SO2,NO2
2910,NO2,PM10,PM10
2911,SO2,SO2,NO2
2912,PM10,NH3,SO2
2913,NO2,NH3,SO2
2914,PM10,NH3,SO2
2917,NO2,PM10,PM10
2919,NO2,NH3,SO2
2920,CO,OZONE,OZONE
2921,PM2.5,OZONE,OZONE
2922,NO2,SO2,SO2
2923,PM2.5,PM10,PM10
2924,CO,NO2,NO2
2927,OZONE,NO2,NO2
2929,CO,NO2,NO2
2930,PM2.5,PM10,PM10
2932,OZONE,NO2,NO2
2933,SO2,SO2,NO2
2934,NO2,NH3,SO2
2935,NH3,NH3,SO2
2936,CO,OZONE,OZONE
2937,NH3,NH3,SO2
2938,NO2,OZONE,OZONE
2940,PM2.5,PM10,PM10
2942,NH3,NH3,SO2
2943,CO,NO2,NO2
2944,OZONE,PM2.5,PM2.5
2946,CO,SO2,SO2
2947,OZONE,SO2,NO2
2948,NH3,NH3,SO2
2949,PM2.5,CO,CO
2950,SO2,PM10,PM10
2951,CO,CO,NO2
2954,SO2,CO,NO2
2957,NH3,SO2,SO2
2958,SO2,SO2,NO2
2960,NH3,SO2,SO2
2961,OZONE,CO,NO2
2963,NH3,SO2,SO2
2964,CO,PM10,PM10
2965,NH3,NH3,SO2
2966,CO,OZONE,OZONE
2967,NO2,OZONE,OZONE
2968,SO2,CO,NO2
2971,NO2,SO2,SO2
2975,PM2.5,PM10,PM10
2976,CO,SO2,SO2
2977,PM10,PM2.5,PM2.5
2979,NH3,NH3,SO2
2980,NO2,OZONE,OZONE
2984,OZONE,NO2,NO2
2987,CO,SO2,SO2
2988,PM10,NH3,SO2
2990,NO2,CO,CO
2992,NH3,NH3,SO2
2993,NO2,PM10,PM10
2994,NH3,NH3,SO2
2995,NO2,PM10,PM10
2998,NH3,NH3,SO2
3000,PM2.5,PM10,PM10
3001,PM10,CO,CO
3002,CO,CO,NO2
3004,NH3,NH3,SO2
3007,CO,OZONE,OZONE
3009,PM10,PM2.5,PM2.5
3011,NO2,CO,CO
