id,z1,z2,z3,z4,z5,z6
65,-0.001282446626462403,-0.00015782543586901287,0.0002945874957027049,0.00013218754669027283,-7.819473829407803e-05,-2.6423931701599482e-05
66,-0.0025677851247824617,-0.0007848557756487827,0.0014432054731148886,-0.00032791440163570116,-0.0004657214093154361,1.8001132108222212e-05
67,-0.024484711674147393,-0.0030362306751908906,-0.0034204370308013547,0.00013203746491831806,-0.00011184393569304832,-4.108800753241364e-05
68,-0.0006733940081337875,-0.0001661807032447487,0.0002387338427055062,0.00013611453215600137,-0.00010425911849265832,-4.328301264067608e-05
69,-0.011683373978484582,-0.0028561497619004755,0.0023247918463366046,5.9953493059349046e-05,-0.00013487561396651463,-0.00018953414804401186
70,-0.016119671189619426,-0.003099380048133309,-0.002144525639258858,8.677102229969996e-05,-0.00017104094085644098,-0.00016136569190363628
71,-0.011687307613051373,-0.0020453602245856855,0.0016870715081073817,0.00012791308809481877,-0.00020011879358568618,-0.00014778738572277514
72,-0.0021982687122291266,-0.00023504430269589023,0.0003272993309908879,0.00015659171623502691,-0.0002557177733968878,-0.0001469017304037398
73,-0.012968257269258618,-0.002122623842475674,0.0022253558830874058,0.00015957428119009156,-0.0002474639356305066,-0.0001478597623224126
74,-0.0021368154713208706,-0.0002453468905737661,0.00034041476124201076,0.00015051893410110426,-0.0002518422214100525,-0.00015203528506434175
75,-0.006045002207726212,0.00022132848691490403,-0.0005562710578397932,0.00014945302585096055,-0.0002550723452188953,-0.00015145131534034673
76,-0.02127199815126824,-0.003826033269738105,0.0021884997219978244,0.00011612830008469858,-0.0002180141685894018,-0.00018459687698598275
77,-0.00697620766118021,-0.00012536708141010775,0.0010572959089391253,0.00011406394135855081,-0.00022602741897527544,-0.00018398936559676393
78,-0.003064178569017471,-0.0003122492869292741,0.0005255450490466324,0.00011318954342122993,-0.00022754355745419774,-0.00018378617319380673
79,-0.007080125708175359,-0.0012355879427822223,-0.0005232836611541367,0.00010354908586569867,-0.00027324871665496245,-0.00023262994848694457
80,-0.009532903129530645,0.00037865005070709425,0.00043425531600995733,0.00011884054663480798,-0.00016268281095049684,-4.453986449136619e-05
81,-0.0025931981080732154,-0.00047369584908060693,0.000649123520972687,0.00011886065986094717,-0.00016118957043931214,-4.483791398980037e-05
82,-0.058036232831041264,-0.007815661995786786,0.006338364522117264,0.00012976752552969968,-0.00013473825343516773,-4.649674177737873e-05
83,-0.003810561492354009,-0.0010736265096101265,0.0007775083145923837,0.00011733878695994047,-0.0001589909602637283,-4.639067167014325e-05
84,-0.016474420492589688,0.012820925532755215,0.003297571110146094,0.00012133735983520348,-0.00016673432510606547,-4.6563695185458144e-05
85,-0.03304374308402029,0.007493428353736718,0.004067688500010754,4.877999388834534e-06,-0.00027583509090891445,-2.0182747236847896e-05
