,pollutant_min,pollutant_max,pollutant_avg
260,-0.36167655822238487,-0.4789814515614677,-0.5353738851619754
266,-0.28956198328947874,-0.43949167534286765,-0.41814595309666175
274,-0.6321062142207827,0.1449570126924138,-0.2423040549986912
281,-0.36167655822238487,-0.3842059886368275,-0.3243636074444108
294,-0.19941876462334612,-0.08408368937546676,-0.2423040549986912
298,-0.469848420621744,-0.21045097327498707,-0.37125478027053627
303,-0.5960489267543296,-0.12357346559406686,-0.48848271233584994
306,-0.469848420621744,-0.05249186840058668,0.32039001891481445
309,0.05298224764182522,-0.08408368937546676,-0.14852170934644027
313,-0.6501348579540093,-0.044593913156866664,-0.4650371259227872
326,0.44961240977280875,-0.05249186840058668,0.17971650043643805
330,0.01692496017537217,-0.0998795998629068,-0.2423040549986912
332,-0.14533283342366654,0.223936565129614,-0.33608640065094214
334,0.19721139750763741,-0.16306324181266696,-0.19541288217256572
335,-0.6140775704875562,-0.3526141676619474,-0.3595319870640049
346,-0.27153333955625225,-0.05249186840058668,-0.28919522782481666
348,0.12509682257473131,-0.27363461522474725,-0.13679891613990888
353,0.07101089137505175,0.2634263413482141,0.3672811917409399
360,-0.09124690222398697,0.018589728792893494,-0.007848190868063844
362,-0.1813901208901196,-0.4236957648554276,-0.33608640065094214
372,-0.28956198328947874,0.2555283861044941,-0.01957098407459521
374,-0.28956198328947874,-0.5342671382675078,-0.5002055055423813
383,-0.28956198328947874,0.49246704341609465,0.20316208684950077
393,-0.4157624894220644,-0.03669595791314664,-0.16024450255297162
394,-0.5780202830211032,-0.7159201088730683,-0.6760474036403518
399,0.14312546630795783,0.07387541549893363,0.4376179509801281
400,0.1070681788415048,-0.044593913156866664,-0.10163053652031478
402,-0.07321825849076045,-0.13147142083778687,-0.2774724346182853
408,-0.05518961475753393,-0.1472673313252269,-0.16024450255297162
418,-0.505905708088197,-0.7554098850916684,-0.6877701968468832
423,-0.6501348579540093,-0.6211446459484281,-0.617433437607695
432,-0.2535046958230257,-0.43949167534286765,-0.30091802103134807
435,-0.3977338456888379,-0.178859152300107,-0.3829775734770676
439,0.08903953510827828,0.0027938183054534533,0.02732018875153026
442,-0.037160971024307404,-0.28943052571218725,-0.30091802103134807
448,-0.21744740835657264,0.15285496793613382,0.29694443250175173
452,-0.43379113315529094,-0.2262468837624271,-0.4650371259227872
453,0.01692496017537217,-0.21834892851870707,-0.19541288217256572
454,-0.21744740835657264,0.16865087842357385,-0.01957098407459521
458,-0.1813901208901196,0.12126314696125375,-0.13679891613990888
465,-0.36167655822238487,0.07387541549893363,-0.10163053652031478
468,-0.21744740835657264,-0.03669595791314664,-0.13679891613990888
478,-0.36167655822238487,-0.40789985436798754,-0.3829775734770676
481,-0.0011036835578543526,-0.05249186840058668,-0.03129377728112658
495,-0.2535046958230257,-0.6448385116795882,-0.5119282987489127
509,-0.6501348579540093,-0.7948996613102685,-0.7581069560860714
514,-0.28956198328947874,-0.044593913156866664,-0.10163053652031478
519,-0.3256192707559318,-0.23414483900614713,-0.3595319870640049
521,-0.469848420621744,-0.7317160193605083,-0.652601817227289
528,-0.0011036835578543526,-0.07618573413174674,0.0859341547841871
545,-0.43379113315529094,-0.4631855410740277,-0.4533143327162558
552,-0.037160971024307404,-0.3842059886368275,-0.37125478027053627
557,-0.36167655822238487,0.08177337074265364,0.2266076732625635
565,-0.6501348579540093,0.05807950501149359,0.09765694799071847
