,C1,C2,C3
1588,1.5552296027089112e-05,2.658134300294056e-05,1.8181105697756138e-06
1592,1.3402419119401882e-05,0.0002619236327041166,0.0004557260265191535
1600,4.070347597885574e-05,9.596086697001406e-05,3.3908421556565644e-06
1603,0.00011622751239488673,0.0009018481468344021,1.718008721823144e-05
1618,2.5886171532949146e-05,4.421617869497787e-06,0.0001453333906596972
1627,7.364450553594424e-08,3.407067352005207e-05,0.0003341088251577558
1655,2.2936949620347786e-05,0.0003664682865231352,7.272874608333734e-05
1656,3.455539436897639e-07,3.038339837994687e-06,0.0005437103362927073
1660,1.7824006482643616e-05,0.0003340029211626211,7.369091532180245e-05
1670,1.8836827473243944e-05,1.870464619951182e-05,0.00022195040070724899
1675,0.00010420999210893695,9.377061910428594e-05,6.258324842936585e-07
1679,3.4080473678414484e-05,1.6616791574022318e-06,0.000168067851237087
1700,1.4506331963290495e-05,0.00020488638601932446,6.055575633315278e-06
1711,5.1401479866203664e-06,4.266858483636734e-05,0.0014523320420141022
1712,0.00016808413774130728,4.113152475096543e-05,3.0790494207245865e-06
1724,2.422255268667632e-05,6.753509165520138e-05,5.062771451125659e-06
1739,1.611452281187366e-08,1.1351602562470848e-05,8.620278320741878e-07
1741,0.00011565772456277152,0.0007681380882906785,6.671787610412266e-05
1749,9.483682490098948e-06,5.3620348791006824e-05,0.00022646066129520276
1752,3.40620257394066e-06,0.00014525220269565517,5.656256857087179e-05
1761,5.9493544457430916e-05,0.0008858422460530364,0.004551463146667677
1767,1.3464017076346552e-05,4.984032248046034e-05,0.0003007215307113368
1778,4.192239013539328e-05,0.0002247331954292945,0.0009618061112102083
1787,6.40903113333883e-06,3.53468363868544e-05,3.284268947965156e-05
1793,1.241158189654329e-06,2.907009989975154e-05,4.35292682934009e-06
1798,8.796659501830254e-06,8.22322491398114e-06,4.37346272736587e-05
1805,2.5174532259251644e-05,0.00014852621387384,3.775177150765519e-06
1806,5.774000092271139e-05,3.09341440316829e-05,0.0003292420618711275
1822,0.00012601894201003954,2.889943575379089e-05,4.8349044456306304e-06
1828,7.504840168809218e-05,4.581763313562705e-05,8.471806718879487e-06
1830,5.9269122311236895e-05,4.831689812985639e-05,5.455713483669857e-06
1843,3.8479339083145346e-05,0.00020026310333104322,3.809779315704928e-08
1845,7.627934790698892e-05,0.00012476676546679615,1.2466735639296157e-06
1871,7.770321023929011e-05,0.0002678043196634328,0.00548619951121325
1881,6.983657280275343e-07,4.715223183601446e-07,1.6100991134291803e-06
1883,3.365357457152424e-05,8.154775447505817e-06,1.3262640742254815e-06
1889,3.064768491344181e-06,0.0004938245628773901,0.0017023075961818221
1894,1.4690345860427677e-06,0.00010495393947823037,7.155893674678123e-05
1906,2.3272011096378448e-05,9.737861485972789e-05,0.0013365422195133383
1913,3.400001724246462e-05,0.00044956954443372253,1.2227068767854212e-06
1917,1.4647941100243823e-05,9.110156866622779e-05,0.0001489874120036701
1919,4.59705324968946e-08,9.028717655182792e-06,8.171397604362981e-05
1925,6.72610121203749e-06,8.140143249355412e-05,2.70842504941908e-06
1928,4.509453896931251e-05,7.222112070464712e-05,2.1326167500796947e-05
1931,2.410367491642245e-07,7.939904779531007e-06,1.0650017358730198e-05
1940,1.2599003558785357e-06,5.95088433887905e-05,2.8244323186828447e-05
1947,3.970375511816955e-05,0.00027734171738317555,0.0007044408238850099
1950,5.256176002525099e-07,4.538249636644309e-05,0.0005135636871998419
1954,1.5181991148843962e-05,7.245385038992633e-05,5.18678441553548e-08
1963,8.175531924887853e-05,3.76939878006825e-05,3.206358729551368e-06
1967,4.877216785290008e-05,8.008009656883454e-06,2.3357294505784275e-05
1975,1.3588054093744269e-05,1.719501204815849e-05,7.487814007835251e-06
1978,1.895402434731762e-05,0.00019357996180626716,6.708535516423324e-05
1981,9.85822290552225e-05,2.998248580534597e-08,0.00014575033198038705
1987,6.5569365397194236e-06,7.483756014969101e-05,5.180767150667856e-05
1995,3.372753054641222e-05,0.00030286029351328037,8.800603678688447e-06
1996,5.0107787635349906e-05,0.00016189336920542074,5.27260466894159e-05
2006,3.247026184024963e-05,3.12952189639132e-05,5.3981961487629874e-05
2009,1.2436583999084296e-07,1.4782634813237542e-05,0.00013034395430217124
2012,0.00015528737565571296,1.4993153916401342e-06,2.5017434986365673e-07
2014,0.00012171302773387493,9.403910012853297e-07,1.1588637935204997e-07
2063,1.8658811070675265e-05,0.00034802779245877156,1.0333712489170855e-05
